"finals",177,105,2837.130435572325,22896.813203717866,133.92,2.7,272.89,"x"
"leao",70,48,2837.6604704810584,22892.623136234168,138.45,3.21,281.78,"x+"
"aymen95",205,117,2836.7154956808163,22891.68647809319,126.94,3.18,260.33,"x"
"pc0",236,140,2831.5431834256506,22880.45662474275,145.6,2.87,281.25,"x"
"nairry",61,48,2835.8269125347833,22851.972451974478,157,3.03,311.98,"x"
"cubi",83,61,2833.9732228486905,22851.448949458572,137.59,3.09,282.98,"x"
"hju99",363,203,2821.8248891782523,22851.21680770729,128.44,2.73,267.48,"x"
"tiredthonk",420,222,2820.910488090786,22850.39342548538,131.53,2.67,276.73,"x"
"kazu",50,41,2824.624902237954,22838.11043978879,175.63,3.21,340.82,"x+"
"pangeez",327,177,2817.424545664556,22837.80778228551,143.75,3.12,286.16,"x"
"shadowblade731",202,123,2817.3271550599457,22837.78882376727,139.07,3.01,272.4,"x"
"13ff",730,366,2815.184157024343,22832.764698625473,124.16,2.78,259.59,"x"
"tomayuli",145,96,2815.485002737112,22831.780104682704,135.38,3.19,272.46,"x"
"ducklife4player",65,50,2819.879328164123,22828.411270874665,156.67,3.57,313.74,"x+"
